Date,Country,Region,FuelType,Price,RowId
4/27/2015,Brazil,Latin America,Geopolitical_Risk_Index,28.6,101
4/27/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,102
5/4/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.776,103
5/4/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.7,104
5/4/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.942,105
5/4/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,59.25,106
5/4/2015,Brazil,Latin America,Geopolitical_Risk_Index,24.1,107
5/4/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,108
5/11/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.759,109
5/11/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.677,110
5/11/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.873,111
5/11/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,57.05,112
5/11/2015,Brazil,Latin America,Geopolitical_Risk_Index,26.5,113
5/11/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,114
5/18/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.719,115
5/18/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.659,116
5/18/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.688,117
5/18/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,55.04,118
5/18/2015,Brazil,Latin America,Geopolitical_Risk_Index,23.6,119
5/18/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,120
5/25/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.808,121
5/25/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.689,122
5/25/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,2.127,123
5/25/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,59.82,124
5/25/2015,Brazil,Latin America,Geopolitical_Risk_Index,27.1,125
5/25/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,126
6/1/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.744,127
6/1/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.656,128
6/1/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.745,129
6/1/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,55.69,130
6/1/2015,Brazil,Latin America,Geopolitical_Risk_Index,29.7,131
6/1/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,132
6/8/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.731,133
6/8/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.668,134
6/8/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.951,135
6/8/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,55.15,136
6/8/2015,Brazil,Latin America,Geopolitical_Risk_Index,27.8,137
6/8/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,138
6/15/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.67,139
6/15/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.618,140
6/15/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,141
6/15/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,51.31,142
6/15/2015,Brazil,Latin America,Geopolitical_Risk_Index,20,143
6/15/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,144
6/22/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.686,145
6/22/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.608,146
6/22/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,147
6/22/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,51.28,148
6/22/2015,Brazil,Latin America,Geopolitical_Risk_Index,23.2,149
6/22/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,150
6/29/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.677,151
6/29/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.617,152
6/29/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,153
6/29/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,51.81,154
6/29/2015,Brazil,Latin America,Geopolitical_Risk_Index,28.1,155
6/29/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,156
7/6/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.68,157
7/6/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.592,158
7/6/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,159
7/6/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,50.2,160
7/6/2015,Brazil,Latin America,Geopolitical_Risk_Index,21.2,161
7/6/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,162
7/13/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.637,163
7/13/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.576,164
7/13/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,165
7/13/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,48.69,166
7/13/2015,Brazil,Latin America,Geopolitical_Risk_Index,21.5,167
7/13/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,168
7/20/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.604,169
7/20/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.563,170
7/20/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.66,171
7/20/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,46.71,172
7/20/2015,Brazil,Latin America,Geopolitical_Risk_Index,20.6,173
7/20/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,174
7/27/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.62,175
7/27/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.567,176
7/27/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.649,177
7/27/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,47.45,178
7/27/2015,Brazil,Latin America,Geopolitical_Risk_Index,27.5,179
7/27/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,180
8/3/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.612,181
8/3/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.534,182
8/3/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,183
8/3/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,44.16,184
8/3/2015,Brazil,Latin America,Geopolitical_Risk_Index,27.2,185
8/3/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,186
8/10/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.659,187
8/10/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.598,188
8/10/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,189
8/10/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,49,190
8/10/2015,Brazil,Latin America,Geopolitical_Risk_Index,26.1,191
8/10/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,192
8/17/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.594,193
8/17/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.54,194
8/17/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,195
8/17/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,44.41,196
8/17/2015,Brazil,Latin America,Geopolitical_Risk_Index,23.6,197
8/17/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,198
8/24/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.599,199
8/24/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.528,200
8/24/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,201
8/24/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,43.26,202
8/24/2015,Brazil,Latin America,Geopolitical_Risk_Index,22.7,203
8/24/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,204
8/31/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.596,205
8/31/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.535,206
8/31/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,207
8/31/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,45.17,208
8/31/2015,Brazil,Latin America,Geopolitical_Risk_Index,24.5,209
8/31/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,210
9/7/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.53,211
9/7/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.464,212
9/7/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,213
9/7/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,39.52,214
9/7/2015,Brazil,Latin America,Geopolitical_Risk_Index,27.2,215
9/7/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,216
9/14/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.549,217
9/14/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.482,218
9/14/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,219
9/14/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,42.23,220
9/14/2015,Brazil,Latin America,Geopolitical_Risk_Index,24.5,221
9/14/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,222
9/21/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.499,223
9/21/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.46,224
9/21/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,225
9/21/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,38.1,226
9/21/2015,Brazil,Latin America,Geopolitical_Risk_Index,24.1,227
9/21/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,228
9/28/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.49,229
9/28/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.446,230
9/28/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,231
9/28/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,37.54,232
9/28/2015,Brazil,Latin America,Geopolitical_Risk_Index,29.5,233
9/28/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,234
10/5/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.555,235
10/5/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.5,236
10/5/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,237
10/5/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,40.47,238
10/5/2015,Brazil,Latin America,Geopolitical_Risk_Index,25,239
10/5/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,240
10/12/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.56,241
10/12/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.498,242
10/12/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,243
10/12/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,42.22,244
10/12/2015,Brazil,Latin America,Geopolitical_Risk_Index,29.4,245
10/12/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,246
10/19/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.538,247
10/19/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.509,248
10/19/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,249
10/19/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,42.98,250
10/19/2015,Brazil,Latin America,Geopolitical_Risk_Index,20.5,251
10/19/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,252
10/26/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.531,253
10/26/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.474,254
10/26/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,255
10/26/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,40.29,256
10/26/2015,Brazil,Latin America,Geopolitical_Risk_Index,23.6,257
10/26/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,258
11/2/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.537,259
11/2/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.509,260
11/2/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,261
11/2/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,41.4,262
11/2/2015,Brazil,Latin America,Geopolitical_Risk_Index,21.1,263
11/2/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,264
11/9/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.54,265
11/9/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.499,266
11/9/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,267
11/9/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,41.69,268
11/9/2015,Brazil,Latin America,Geopolitical_Risk_Index,27.5,269
11/9/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,270
11/16/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.577,271
11/16/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.529,272
11/16/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,273
11/16/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,43.07,274
11/16/2015,Brazil,Latin America,Geopolitical_Risk_Index,29.4,275
11/16/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,276
11/23/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.547,277
11/23/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.492,278
11/23/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,279
11/23/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,41.74,280
11/23/2015,Brazil,Latin America,Geopolitical_Risk_Index,21.8,281
11/23/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,282
11/30/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.654,283
11/30/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.593,284
11/30/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.515,285
11/30/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,49.23,286
11/30/2015,Brazil,Latin America,Geopolitical_Risk_Index,29.1,287
11/30/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,288
12/7/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.609,289
12/7/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.549,290
12/7/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,291
12/7/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,46.83,292
12/7/2015,Brazil,Latin America,Geopolitical_Risk_Index,24.5,293
12/7/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,294
12/14/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.588,295
12/14/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.531,296
12/14/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,297
12/14/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,43.87,298
12/14/2015,Brazil,Latin America,Geopolitical_Risk_Index,28.9,299
12/14/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,300
12/21/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.659,301
12/21/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.601,302
12/21/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,303
12/21/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,49.98,304
12/21/2015,Brazil,Latin America,Geopolitical_Risk_Index,26.7,305
12/21/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,306
12/28/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.651,307
12/28/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.585,308
12/28/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.749,309
12/28/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,49.45,310
12/28/2015,Brazil,Latin America,Geopolitical_Risk_Index,26.8,311
12/28/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,312
1/4/2016,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.643,313
1/4/2016,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.58,314
1/4/2016,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,315
1/4/2016,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,48.47,316
1/4/2016,Brazil,Latin America,Geopolitical_Risk_Index,20.6,317
1/4/2016,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,318
1/11/2016,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.652,319
1/11/2016,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.585,320
1/11/2016,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.642,321
1/11/2016,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,50.75,322
1/11/2016,Brazil,Latin America,Geopolitical_Risk_Index,21.9,323
1/11/2016,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,324
1/18/2016,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.71,325
1/18/2016,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.659,326
1/18/2016,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.666,327
1/18/2016,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,54.77,328
1/18/2016,Brazil,Latin America,Geopolitical_Risk_Index,24.6,329
1/18/2016,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,330
1/25/2016,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.764,331
1/25/2016,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.681,332
1/25/2016,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.958,333
1/25/2016,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,58.02,334
1/25/2016,Brazil,Latin America,Geopolitical_Risk_Index,27.6,335
1/25/2016,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,336
2/1/2016,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.716,337
2/1/2016,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.636,338
2/1/2016,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,339
2/1/2016,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,53.83,340
2/1/2016,Brazil,Latin America,Geopolitical_Risk_Index,25.3,341
2/1/2016,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,342
2/8/2016,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.713,343
